Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Birla Corp,Cement & Construction,"1,199,980.00",114.01,3.67,
UPL,Chemicals,"1,175,111.00",103.07,3.32,
HDFC Bank,Banking & Financial Services,"565,000.00",100.82,3.25,
Tube Investment,Miscellaneous,"1,268,846.00",98.41,3.17,
GE Power India,Engineering & Capital Goods,"1,359,755.00",97.30,3.13,
Muthoot Finance,Banking & Financial Services,"2,029,200.00",96.21,3.10,
Gulf Oil Lubric,Chemicals,"1,157,767.00",94.71,3.05,
GNFC,Chemicals,"3,136,386.00",94.11,3.03,
India Cements,Cement & Construction,"4,010,242.00",81.79,2.64,
Abbott India,Pharmaceuticals,"169,241.00",75.23,2.42,
CARE,Miscellaneous,"445,250.00",72.07,2.32,
Atul,Chemicals,"309,659.00",68.09,2.19,
Federal Bank,Banking & Financial Services,"5,800,000.00",66.85,2.15,
Mahindra Holida,Services,"1,589,151.00",64.83,2.09,
Redington,Information Technology,"4,093,000.00",61.01,1.97,
MCX India,Miscellaneous,"544,491.00",61.03,1.97,
M&M,Automotive,"435,000.00",61.04,1.97,
Honeywell Autom,Telecommunication,"48,503.00",60.72,1.96,
SBI,Banking & Financial Services,"1,935,000.00",60.47,1.95,
United Spirits,Food & Beverages,"237,049.00",60.11,1.94,
SKF India,Engineering & Capital Goods,"382,432.00",59.50,1.92,
Navkar Corp,Services,"2,825,962.00",57.35,1.85,
INOX Leisure,Media & Entertainment,"2,220,347.00",56.99,1.84,
ICICI Bank,Banking & Financial Services,"1,822,100.00",55.14,1.78,
Sheela Foam,Miscellaneous,"385,850.00",51.68,1.67,
Indian Hotels,Services,"4,072,658.00",50.77,1.64,
Tata Coffee,Food & Beverages,"3,881,402.00",50.15,1.62,
Cipla,Pharmaceuticals,"875,200.00",49.02,1.58,
Page Industries,Manufacturing,"29,845.00",48.88,1.57,
Jindal (Hisar),Metals & Mining,"2,960,089.00",48.21,1.55,
Dish TV,Media & Entertainment,"5,700,000.00",47.48,1.53,
Ador Welding,Engineering & Capital Goods,"1,179,004.00",46.85,1.51,
Oriental Hotels,Services,"12,862,742.00",47.01,1.51,
NCC,Cement & Construction,"5,120,000.00",45.52,1.47,
GE Shipping,Services,"1,037,617.00",41.26,1.33,
Unichem Labs,Pharmaceuticals,"1,546,258.00",41.05,1.32,
Sun Pharma,Pharmaceuticals,"739,800.00",39.33,1.27,
Navneet,Miscellaneous,"2,371,000.00",39.00,1.26,
Titagarh Wagons,Engineering & Capital Goods,"3,106,190.00",37.94,1.22,
Apollo Hospital,Services,"300,000.00",37.77,1.22,
Cholamandalam,Banking & Financial Services,"300,000.00",35.95,1.16,
ABB India,Engineering & Capital Goods,"250,000.00",35.53,1.14,
Sanghi Ind,Cement & Construction,"3,488,576.00",31.24,1.01,
Max Financial,Manufacturing,"500,000.00",30.47,0.98,
Gulshan Poly,Chemicals,"3,102,378.00",30.02,0.97,
IOC,Oil & Gas,"800,000.00",29.41,0.95,
HCL Tech,Information Technology,"323,117.00",28.85,0.93,
PDS Multi,Manufacturing,"1,034,677.00",26.04,0.84,
Sanghvi Movers,Engineering & Capital Goods,"1,077,500.00",25.07,0.81,
ICICI Prudentia,Banking & Financial Services,"539,000.00",24.74,0.80,
Infosys,Information Technology,"240,000.00",24.27,0.78,
CDSL,Banking & Financial Services,"671,200.00",22.79,0.73,
Jyothy Labs,Consumer Non-durables,"597,225.00",22.13,0.71,
Jain Irrigation,Manufacturing,"1,781,000.00",18.89,0.61,
INEOS Styro,Chemicals,"172,439.00",18.66,0.60,
Healthcare Glob,Services,"670,000.00",18.24,0.59,
PNC Infratech,Retail & Real Estate,"1,213,821.00",17.25,0.56,
Grasim,Conglomerates,"139,025.00",14.88,0.48,
Pearl Global In,Manufacturing,"805,451.00",13.14,0.42,
Kaya,Miscellaneous,"136,564.00",12.42,0.40,
NCL Industries,Cement & Construction,"486,950.00",9.53,0.31,
Vardhman Text,Manufacturing,"56,000.00",6.82,0.22,
Aditya Birla,Banking & Financial Services,"194,635.00",3.58,0.12,
Reliance Comm,Telecommunication,"1,005,500.00",2.64,0.09
