Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Kansai Nerolac,Chemicals,"11,600.00",0.53,4.76,
Motherson Sumi,Automotive,"13,500.00",0.44,3.93,
KPR Mill,Manufacturing,"5,400.00",0.43,3.84,
Mold-Tek Pack,Manufacturing,"15,200.00",0.43,3.82,
Kotak Mahindra,Banking & Financial Services,"4,100.00",0.42,3.75,
Britannia,Food & Beverages,"1,000.00",0.39,3.52,
BEML,Engineering & Capital Goods,"2,250.00",0.39,3.48,
PTC India Fin,Banking & Financial Services,"93,000.00",0.37,3.34,
Bajaj Auto,Automotive,"1,300.00",0.37,3.27,
Coromandel Int,Chemicals,"8,000.00",0.36,3.22,
M&M,Automotive,"2,500.00",0.35,3.14,
Exide Ind,Automotive,"16,000.00",0.35,3.12,
Bajaj Finance,Banking & Financial Services,"2,000.00",0.34,3.05,
City Union Bank,Banking & Financial Services,"18,700.00",0.33,2.96,
Marico,Consumer Non-durables,"9,500.00",0.32,2.85,
Bharat Elec,Manufacturing,"16,700.00",0.30,2.68,
Adani Ports,Engineering & Capital Goods,"7,500.00",0.30,2.66,
Greaves Cotton,Engineering & Capital Goods,"18,000.00",0.29,2.59,
IndusInd Bank,Banking & Financial Services,"1,750.00",0.29,2.58,
Federal Bank,Banking & Financial Services,"24,500.00",0.28,2.53,
Atul,Chemicals,"1,250.00",0.27,2.46,
HCL Tech,Information Technology,"3,074.00",0.27,2.46,
Emami,Consumer Non-durables,"2,400.00",0.27,2.38,
Supreme Ind,Manufacturing,"2,250.00",0.25,2.26,
CARE,Miscellaneous,"1,500.00",0.24,2.18,
DB Corp,Media & Entertainment,"6,100.00",0.23,2.05,
Techno Electric,Engineering & Capital Goods,"6,086.00",0.22,2.01,
SRF,Manufacturing,"1,450.00",0.22,1.97,
Gujarat Gas,Oil & Gas,"2,839.00",0.22,1.93,
Dr Lal PathLab,Pharmaceuticals,"2,400.00",0.20,1.79,
Bank of Baroda,Banking & Financial Services,"10,000.00",0.17,1.49,
Alkem Lab,Pharmaceuticals,900.00,0.16,1.48,
Advanced Enzyme,Pharmaceuticals,"5,000.00",0.16,1.41,
Sun Pharma,Pharmaceuticals,"2,900.00",0.15,1.38,
Tech Mahindra,Information Technology,"3,800.00",0.15,1.31,
AIA Engineering,Engineering & Capital Goods,"1,000.00",0.15,1.30,
Arrow Greentech,Manufacturing,"2,070.00",0.11,1.03,
Tata Steel,Metals & Mining,"1,600.00",0.09,0.81,
AU Small Financ,Banking & Financial Services,140.00,0.01,0.07
