Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
GRUH Finance,Banking & Financial Services,"3,300,000.00",162.05,5.16,
MRF,Automotive,"23,000.00",159.16,5.07,
P and G,Consumer Non-durables,"190,000.00",152.80,4.86,
Solar Ind,Chemicals,"1,590,000.00",142.76,4.54,
Sundaram Fin,Banking & Financial Services,"700,000.00",117.40,3.74,
Grindwell Norto,Engineering & Capital Goods,"2,700,000.00",114.37,3.64,
Divis Labs,Pharmaceuticals,"1,689,599.00",113.69,3.62,
AU Small Financ,Banking & Financial Services,"1,760,197.00",103.96,3.31,
Westlife Dev,Banking & Financial Services,"3,545,081.00",92.47,2.94,
Muthoot Finance,Banking & Financial Services,"1,900,000.00",90.09,2.87,
Balkrishna Ind,Automotive,"500,000.00",81.29,2.59,
Kansai Nerolac,Chemicals,"1,700,000.00",77.78,2.48,
Redington,Information Technology,"5,100,000.00",76.02,2.42,
Mahindra Holida,Services,"1,853,025.00",75.59,2.41,
Atul,Chemicals,"330,000.00",72.56,2.31,
Kajaria Ceramic,Cement & Construction,"1,000,000.00",67.67,2.15,
GE T&D India,Engineering & Capital Goods,"1,700,000.00",67.08,2.13,
Whirlpool,Consumer Durables,"570,000.00",66.73,2.12,
Kewal Kiran,Retail & Real Estate,"390,469.00",66.72,2.12,
Page Industries,Manufacturing,"40,000.00",65.51,2.09,
Laurus Labs,Pharmaceuticals,"1,100,000.00",63.88,2.03,
SKF India,Engineering & Capital Goods,"410,000.00",63.79,2.03,
Greenply Ind,Miscellaneous,"2,300,000.00",61.54,1.96,
Thermax,Engineering & Capital Goods,"700,000.00",60.92,1.94,
PI Industries,Chemicals,"790,000.00",60.49,1.93,
Blue Dart,Services,"140,000.00",59.68,1.90,
Schaeffler Ind,Engineering & Capital Goods,"130,000.00",59.02,1.88,
Dr Lal PathLab,Pharmaceuticals,"700,000.00",58.38,1.86,
Rallis India,Chemicals,"2,400,000.00",57.80,1.84,
Finolex Cables,Telecommunication,"1,176,736.00",54.93,1.75,
Allcargo,Services,"3,100,000.00",53.20,1.69,
Elgi Equipments,Engineering & Capital Goods,"2,058,809.00",48.67,1.55,
Relaxo Footwear,Consumer Non-durables,"1,000,000.00",47.54,1.51,
Precision Camsh,Automotive,"3,000,000.00",37.56,1.20,
UFO Moviez,Media & Entertainment,"870,000.00",32.75,1.04,
Eveready Ind,Consumer Non-durables,"1,028,453.00",31.66,1.01,
Ajanta Pharma,Pharmaceuticals,"210,000.00",29.34,0.93,
Finolex Ind,Chemicals,"414,963.00",25.19,0.80,
United Brewerie,Food & Beverages,"75,455.00",6.19,0.20
