Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Himatsingka Sei,Manufacturing,"3,023.00",0.10,3.81,
Navin Fluorine,Chemicals,"1,450.00",0.09,3.26,
India Cements,Cement & Construction,"4,114.00",0.08,3.01,
NCC,Cement & Construction,"9,062.00",0.08,2.93,
Astra Microwave,Telecommunication,"5,484.00",0.08,2.88,
Asian Granito,Cement & Construction,"1,661.00",0.07,2.65,
Mahindra Holida,Services,"1,661.00",0.06,2.40,
Rallis India,Chemicals,"2,470.00",0.06,2.22,
Taj GVK Hotels,Services,"3,404.00",0.06,2.13,
Repco Home,Banking & Financial Services,691.00,0.06,2.11,
Rane Holdings,Automotive,317.00,0.06,2.05,
Elgi Equipments,Engineering & Capital Goods,"2,383.00",0.06,2.04,
Ramcoind,Cement & Construction,"2,290.00",0.05,2.01,
Grindwell Norto,Engineering & Capital Goods,"1,329.00",0.05,1.98,
Rajapalayam,Manufacturing,552.00,0.05,1.98,
Praj Industries,Engineering & Capital Goods,"6,858.00",0.05,1.91,
Brigade Ent,Retail & Real Estate,"1,964.00",0.05,1.88,
Indian Terrain,Manufacturing,"2,375.00",0.05,1.79,
JK Tyre & Ind,Automotive,"2,971.00",0.05,1.77,
Johnson Control,Consumer Durables,232.00,0.05,1.72,
Ashoka Buildcon,Cement & Construction,"2,311.00",0.04,1.58,
Force Motors,Automotive,83.00,0.03,1.29,
Guj Mineral,Metals & Mining,"2,369.00",0.03,1.29,
Geojit Fin,Banking & Financial Services,"3,561.00",0.03,1.29,
Subros,Automotive,"1,419.00",0.03,1.27,
Va Tech Wabag,Engineering & Capital Goods,482.00,0.03,1.23,
Timken,Engineering & Capital Goods,493.00,0.03,1.22,
Dollar Ind,Manufacturing,157.00,0.03,1.22,
Mcleod,Food & Beverages,"1,881.00",0.03,1.21,
PSP Projects,Cement & Construction,"1,212.00",0.03,1.21,
HSIL,Cement & Construction,864.00,0.03,1.17,
CL Educate,Miscellaneous,743.00,0.03,1.17,
Hind Constr,Cement & Construction,"7,803.00",0.03,1.13,
Himadri Special,Chemicals,"3,847.00",0.03,1.12,
LG Balakrishnan,Engineering & Capital Goods,401.00,0.03,1.11,
Navneet,Miscellaneous,"1,612.00",0.03,1.07,
Premier Explo,Chemicals,590.00,0.03,1.07,
SREI Infra,Banking & Financial Services,"2,491.00",0.03,1.07,
TD Power System,Engineering & Capital Goods,"1,237.00",0.03,1.04,
GNA Axles,Automotive,"1,208.00",0.03,1.03,
Clariant Chem,Chemicals,427.00,0.03,1.00,
Tata Elxsi,Information Technology,169.00,0.03,0.99,
RPP Infra Proj,Cement & Construction,"1,099.00",0.03,0.98,
West Coast Pap,Manufacturing,"1,342.00",0.03,0.96,
INOX Leisure,Media & Entertainment,935.00,0.03,0.95,
Triveni Engg,Food & Beverages,"3,326.00",0.02,0.90,
Kalpataru Power,Engineering & Capital Goods,731.00,0.02,0.88,
S Chand and Co,Miscellaneous,426.00,0.02,0.74,
Ingersoll Rand,Engineering & Capital Goods,173.00,0.01,0.54,
Orient Refract,Cement & Construction,"1,018.00",0.01,0.52,
Ujjivan Financi,Banking & Financial Services,253.00,0.01,0.29,
MM Forgings,Manufacturing,66.00,0.00,0.15,
Star Cement,Metals & Mining,68.00,0.00,0.03
