Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
India Cements,Cement & Construction,"621,179.00",12.26,4.01,
CenturyPlyboard,Miscellaneous,"416,547.00",12.26,4.01,
Heritage Foods,Food & Beverages,"102,486.00",11.37,3.72,
Rane Holdings,Automotive,"63,309.00",11.07,3.62,
Himatsingka Sei,Manufacturing,"307,961.00",10.46,3.42,
J. K. Cement,Cement & Construction,"110,960.00",10.42,3.41,
Blue Star,Consumer Durables,"172,554.00",10.36,3.39,
DCB Bank,Banking & Financial Services,"509,773.00",10.12,3.31,
Grindwell Norto,Engineering & Capital Goods,"250,726.00",10.06,3.29,
Navin Fluorine,Chemicals,"163,851.00",9.94,3.25,
V-Guard Ind,Miscellaneous,"571,321.00",9.84,3.22,
Timken,Engineering & Capital Goods,"144,823.00",9.66,3.16,
MM Forgings,Manufacturing,"145,862.00",8.93,2.92,
PVR,Media & Entertainment,"61,670.00",8.68,2.84,
Ashoka Buildcon,Cement & Construction,"455,665.00",8.41,2.75,
Ador Welding,Engineering & Capital Goods,"199,491.00",7.49,2.45,
Minda Ind,Automotive,"114,975.00",7.37,2.41,
PNC Infratech,Retail & Real Estate,"423,884.00",6.05,1.98,
Subros,Automotive,"249,637.00",6.02,1.97,
Praj Industries,Engineering & Capital Goods,"798,738.00",6.02,1.97,
HSIL,Cement & Construction,"154,928.00",5.66,1.85,
NCC,Cement & Construction,"621,901.00",5.44,1.78,
Repco Home,Banking & Financial Services,"61,198.00",5.04,1.65,
Techno Electric,Engineering & Capital Goods,"126,585.00",4.77,1.56,
Shanthi Gears,Engineering & Capital Goods,"327,661.00",4.68,1.53,
PTC India,Services,"452,318.00",4.37,1.43,
Navneet,Miscellaneous,"243,062.00",4.34,1.42,
Premier Explo,Chemicals,"87,677.00",4.28,1.40,
Salzer Electro,Engineering & Capital Goods,"213,536.00",4.25,1.39,
Johnson Control,Consumer Durables,"20,382.00",4.07,1.33,
KSB Pumps,Engineering & Capital Goods,"51,921.00",3.94,1.29,
NIIT Tech,Information Technology,"67,806.00",3.91,1.28,
Va Tech Wabag,Engineering & Capital Goods,"53,836.00",3.70,1.21,
WPIL,Engineering & Capital Goods,"76,815.00",3.49,1.14,
Ujjivan Financi,Banking & Financial Services,"108,688.00",3.36,1.10,
Texmaco Rail,Engineering & Capital Goods,"372,987.00",3.27,1.07,
Take Solutions,Information Technology,"191,825.00",3.15,1.03,
Dollar Ind,Manufacturing,"14,601.00",3.06,1.00,
Heidelberg Cem,Cement & Construction,"239,773.00",3.00,0.98,
HT Media,Media & Entertainment,"362,995.00",2.93,0.96,
Gateway Distri,Miscellaneous,"106,170.00",2.75,0.90,
Gujarat Pipavav,Services,"167,680.00",2.51,0.82,
Mcleod,Food & Beverages,"144,361.00",2.51,0.82,
Clariant Chem,Chemicals,"39,051.00",2.48,0.81,
S Chand and Co,Miscellaneous,"50,789.00",2.38,0.78,
ZF Steering Gea,Automotive,"19,232.00",2.35,0.77,
RPP Infra Proj,Cement & Construction,"87,873.00",2.11,0.69,
Madhucon Proj,Cement & Construction,"466,610.00",1.77,0.58,
GNA Axles,Automotive,"61,315.00",1.41,0.46,
Kennametal,Engineering & Capital Goods,"22,241.00",1.38,0.45,
PSP Projects,Cement & Construction,"35,133.00",0.95,0.31,
ITD Cementation,Cement & Construction,"46,963.00",0.79,0.26
