Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Sundaram-Clayto,Automotive,18.00,0.01,3.52,
Bajaj Finserv,Banking & Financial Services,18.00,0.01,3.17,
UPL,Chemicals,85.00,0.01,3.09,
Schaeffler Ind,Engineering & Capital Goods,16.00,0.01,3.05,
Ramco Cements,Cement & Construction,93.00,0.01,2.80,
Federal Bank,Banking & Financial Services,524.00,0.01,2.57,
IGL,Oil & Gas,53.00,0.01,2.44,
Arvind,Manufacturing,151.00,0.01,2.36,
SRF,Manufacturing,35.00,0.01,2.34,
Mahindra CIE,Manufacturing,192.00,0.00,2.04,
LIC Housing Fin,Banking & Financial Services,63.00,0.00,2.03,
Exide Ind,Automotive,211.00,0.00,2.02,
Cholamandalam,Banking & Financial Services,42.00,0.00,2.02,
Honeywell Autom,Telecommunication,4.00,0.00,2.02,
Karur Vysya,Banking & Financial Services,315.00,0.00,1.98,
DCB Bank,Banking & Financial Services,228.00,0.00,1.97,
Indian Bank,Banking & Financial Services,160.00,0.00,1.95,
Apollo Tyres,Automotive,180.00,0.00,1.89,
Timken,Engineering & Capital Goods,63.00,0.00,1.82,
M&M Financial,Banking & Financial Services,118.00,0.00,1.77,
Emami,Consumer Non-durables,33.00,0.00,1.53,
Bayer CropScien,Chemicals,8.00,0.00,1.52,
WABCO India,Automotive,6.00,0.00,1.51,
Shriram City,Banking & Financial Services,14.00,0.00,1.49,
HSIL,Cement & Construction,90.00,0.00,1.43,
CRISIL,Miscellaneous,17.00,0.00,1.41,
Century,Conglomerates,29.00,0.00,1.39,
IIFL Holdings,Banking & Financial Services,52.00,0.00,1.37,
Coromandel Int,Chemicals,75.00,0.00,1.36,
Whirlpool,Consumer Durables,27.00,0.00,1.36,
Apollo Hospital,Services,24.00,0.00,1.32,
Healthcare Glob,Services,119.00,0.00,1.30,
PVR,Media & Entertainment,21.00,0.00,1.28,
Mahindra Holida,Services,75.00,0.00,1.27,
Trent,Retail & Real Estate,122.00,0.00,1.25,
Ujjivan Financi,Banking & Financial Services,93.00,0.00,1.25,
Tata Chemicals,Chemicals,47.00,0.00,1.23,
Jyothy Labs,Consumer Non-durables,79.00,0.00,1.22,
Thermax,Engineering & Capital Goods,29.00,0.00,1.19,
City Union Bank,Banking & Financial Services,166.00,0.00,1.16,
P and G,Consumer Non-durables,3.00,0.00,1.14,
Varun Beverages,Food & Beverages,49.00,0.00,1.13,
Grindwell Norto,Engineering & Capital Goods,61.00,0.00,1.07,
CESC,Utilities,28.00,0.00,1.06,
Bank of Baroda,Banking & Financial Services,148.00,0.00,1.04,
Max Financial,Manufacturing,38.00,0.00,1.03,
Castrol,Chemicals,58.00,0.00,1.02,
Oracle Fin Serv,Information Technology,7.00,0.00,1.02,
Force Motors,Automotive,5.00,0.00,1.00,
Tata Global Bev,Food & Beverages,150.00,0.00,0.98,
GlaxoSmith Con,Food & Beverages,4.00,0.00,0.96,
Strides Shasun,Pharmaceuticals,22.00,0.00,0.96,
Guj State Petro,Oil & Gas,124.00,0.00,0.95,
L&T Technology,Information Technology,30.00,0.00,0.94,
Vardhman Text,Manufacturing,18.00,0.00,0.89,
HUDCO,Retail & Real Estate,295.00,0.00,0.86,
MphasiS,Information Technology,33.00,0.00,0.86,
Gateway Distri,Miscellaneous,75.00,0.00,0.84,
Aditya Birla F,Retail & Real Estate,105.00,0.00,0.79,
PNB,Banking & Financial Services,129.00,0.00,0.77,
Persistent,Information Technology,24.00,0.00,0.72,
JagranPrakashan,Media & Entertainment,81.00,0.00,0.64,
Laurus Labs,Pharmaceuticals,24.00,0.00,0.63,
Petronet LNG,Oil & Gas,65.00,0.00,0.61,
NALCO,Metals & Mining,170.00,0.00,0.48,
ABB India,Engineering & Capital Goods,6.00,0.00,0.41,
V-Guard Ind,Miscellaneous,36.00,0.00,0.27
