Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Ramco Cements,Cement & Construction,"54,982.00",3.82,4.79,
Bajaj Finserv,Banking & Financial Services,"7,670.00",3.16,3.96,
Federal Bank,Banking & Financial Services,"267,903.00",3.02,3.79,
M&M Financial,Banking & Financial Services,"81,169.00",2.80,3.51,
CESC,Utilities,"31,043.00",2.70,3.38,
IGL,Oil & Gas,"25,215.00",2.66,3.34,
Coromandel Int,Chemicals,"60,265.00",2.53,3.17,
Redington,Information Technology,"191,277.00",2.50,3.14,
Exide Ind,Automotive,"112,872.00",2.49,3.12,
Bayer CropScien,Chemicals,"5,355.00",2.48,3.11,
Arvind,Manufacturing,"62,069.00",2.23,2.80,
Karur Vysya,Banking & Financial Services,"149,948.00",2.17,2.72,
Bank of Baroda,Banking & Financial Services,"133,238.00",2.15,2.70,
Max Financial,Manufacturing,"33,369.00",2.11,2.64,
Thermax,Engineering & Capital Goods,"22,319.00",2.09,2.62,
Siemens,Engineering & Capital Goods,"15,471.00",2.07,2.59,
Cholamandalam,Banking & Financial Services,"18,165.00",2.04,2.56,
Century,Conglomerates,"18,202.00",2.00,2.51,
Whirlpool,Consumer Durables,"16,888.00",1.92,2.41,
UPL,Chemicals,"22,211.00",1.87,2.34,
Schaeffler Ind,Engineering & Capital Goods,"4,053.00",1.80,2.26,
Apollo Tyres,Automotive,"74,567.00",1.79,2.25,
Motherson Sumi,Automotive,"58,011.00",1.79,2.24,
Indian Bank,Banking & Financial Services,"60,710.00",1.72,2.15,
Castrol,Chemicals,"42,378.00",1.72,2.15,
CRISIL,Miscellaneous,"8,330.00",1.62,2.03,
SRF,Manufacturing,"9,889.00",1.52,1.91,
Vardhman Text,Manufacturing,"12,108.00",1.38,1.73,
Allahabad Bank,Banking & Financial Services,"186,933.00",1.27,1.59,
L&T Technology,Information Technology,"17,466.00",1.25,1.57,
MphasiS,Information Technology,"20,757.00",1.24,1.56,
J. K. Cement,Cement & Construction,"13,169.00",1.24,1.55,
Emami,Consumer Non-durables,"10,606.00",1.14,1.43,
CenturyPlyboard,Miscellaneous,"38,767.00",1.14,1.43,
HUDCO,Retail & Real Estate,"165,246.00",1.11,1.39,
GlaxoSmith Con,Food & Beverages,"2,012.00",1.08,1.35,
Force Motors,Automotive,"2,138.00",0.90,1.13,
Jindal Steel,Metals & Mining,"72,518.00",0.89,1.12,
Schneider Infra,Utilities,"67,517.00",0.86,1.08,
JM Financial,Banking & Financial Services,"66,532.00",0.78,0.98,
Apollo Hospital,Services,"5,695.00",0.73,0.91,
PNB,Banking & Financial Services,"42,412.00",0.58,0.73
