Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Ramco Cements,Cement & Construction,622.00,0.04,4.80,
Bajaj Finserv,Banking & Financial Services,87.00,0.04,3.97,
Federal Bank,Banking & Financial Services,"3,007.00",0.03,3.77,
M&M Financial,Banking & Financial Services,916.00,0.03,3.51,
IGL,Oil & Gas,289.00,0.03,3.39,
CESC,Utilities,345.00,0.03,3.33,
Coromandel Int,Chemicals,676.00,0.03,3.15,
Redington,Information Technology,"2,158.00",0.03,3.14,
Exide Ind,Automotive,"1,278.00",0.03,3.13,
Bayer CropScien,Chemicals,60.00,0.03,3.10,
Arvind,Manufacturing,705.00,0.03,2.82,
Bank of Baroda,Banking & Financial Services,"1,509.00",0.02,2.71,
Karur Vysya,Banking & Financial Services,"1,686.00",0.02,2.71,
Thermax,Engineering & Capital Goods,253.00,0.02,2.63,
Max Financial,Manufacturing,375.00,0.02,2.63,
Siemens,Engineering & Capital Goods,174.00,0.02,2.58,
Cholamandalam,Banking & Financial Services,206.00,0.02,2.57,
Century,Conglomerates,206.00,0.02,2.52,
Whirlpool,Consumer Durables,186.00,0.02,2.35,
MphasiS,Information Technology,353.00,0.02,2.35,
Schaeffler Ind,Engineering & Capital Goods,46.00,0.02,2.29,
Apollo Tyres,Automotive,853.00,0.02,2.28,
UPL,Chemicals,244.00,0.02,2.28,
Motherson Sumi,Automotive,649.00,0.02,2.22,
Castrol,Chemicals,478.00,0.02,2.15,
Indian Bank,Banking & Financial Services,682.00,0.02,2.14,
CRISIL,Miscellaneous,94.00,0.02,2.03,
SRF,Manufacturing,112.00,0.02,1.91,
Vardhman Text,Manufacturing,138.00,0.02,1.75,
L&T Technology,Information Technology,198.00,0.01,1.58,
Allahabad Bank,Banking & Financial Services,"2,069.00",0.01,1.56,
J. K. Cement,Cement & Construction,146.00,0.01,1.52,
CenturyPlyboard,Miscellaneous,447.00,0.01,1.46,
Emami,Consumer Non-durables,120.00,0.01,1.43,
HUDCO,Retail & Real Estate,"1,878.00",0.01,1.40,
GlaxoSmith Con,Food & Beverages,22.00,0.01,1.32,
PNB,Banking & Financial Services,800.00,0.01,1.22,
Force Motors,Automotive,24.00,0.01,1.13,
Jindal Steel,Metals & Mining,818.00,0.01,1.12,
Schneider Infra,Utilities,741.00,0.01,1.05,
JM Financial,Banking & Financial Services,751.00,0.01,0.98,
Apollo Hospital,Services,65.00,0.01,0.92
