Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Rane Holdings,Automotive,"439,699.00",76.67,6.56,
Navin Fluorine,Chemicals,"766,197.00",46.52,3.98,
V-Guard Ind,Miscellaneous,"2,621,238.00",45.23,3.87,
J. K. Cement,Cement & Construction,"451,854.00",42.42,3.63,
Karur Vysya,Banking & Financial Services,"2,859,204.00",41.37,3.54,
DCB Bank,Banking & Financial Services,"2,000,830.00",39.74,3.40,
PNC Infratech,Retail & Real Estate,"2,668,795.00",38.22,3.27,
India Cements,Cement & Construction,"1,887,227.00",37.28,3.19,
Himatsingka Sei,Manufacturing,"1,078,396.00",36.70,3.14,
CenturyPlyboard,Miscellaneous,"1,167,727.00",34.36,2.94,
ITD Cementation,Cement & Construction,"1,810,741.00",30.74,2.63,
Heritage Foods,Food & Beverages,"276,908.00",30.62,2.62,
HSIL,Cement & Construction,"831,260.00",30.39,2.60,
NRB Bearings,Engineering & Capital Goods,"2,339,260.00",30.04,2.57,
Ashoka Buildcon,Cement & Construction,"1,582,774.00",29.22,2.50,
ISGEC Heavy Eng,Food & Beverages,"46,456.00",28.40,2.43,
Timken,Engineering & Capital Goods,"419,648.00",28.05,2.40,
Strides Shasun,Pharmaceuticals,"276,834.00",27.70,2.37,
Ramcoind,Cement & Construction,"1,153,926.00",27.35,2.34,
Heidelberg Cem,Cement & Construction,"2,027,276.00",25.36,2.17,
Praj Industries,Engineering & Capital Goods,"3,325,879.00",25.01,2.14,
Gateway Distri,Miscellaneous,"938,421.00",24.19,2.07,
Brigade Ent,Retail & Real Estate,"918,151.00",23.73,2.03,
Amrutanjan Heal,Pharmaceuticals,"344,755.00",23.37,2.00,
TD Power System,Engineering & Capital Goods,"1,019,412.00",23.14,1.98,
Take Solutions,Information Technology,"1,376,643.00",22.56,1.93,
LG Balakrishnan,Engineering & Capital Goods,"292,297.00",21.86,1.87,
Kalpataru Power,Engineering & Capital Goods,"618,142.00",20.10,1.72,
INOX Leisure,Media & Entertainment,"724,325.00",19.87,1.70,
Ramco Cements,Cement & Construction,"255,623.00",17.76,1.52,
Astra Microwave,Telecommunication,"1,244,547.00",17.65,1.51,
Carborundum,Engineering & Capital Goods,"499,468.00",16.25,1.39,
KSB Pumps,Engineering & Capital Goods,"209,000.00",16.01,1.37,
Taj GVK Hotels,Services,"920,034.00",15.54,1.33,
Va Tech Wabag,Engineering & Capital Goods,"205,336.00",14.14,1.21,
Asian Granito,Cement & Construction,"306,558.00",13.21,1.13,
Redington,Information Technology,"999,593.00",13.09,1.12,
SREI Infra,Banking & Financial Services,"1,078,043.00",12.51,1.07,
Healthcare Glob,Services,"472,866.00",11.92,1.02,
Star Cement,Metals & Mining,"968,634.00",11.57,0.99,
Ramco System,Information Technology,"342,587.00",11.22,0.96,
Thyrocare Techn,Services,"142,997.00",10.40,0.89,
Triveni Engg,Food & Beverages,"1,423,903.00",10.40,0.89,
GNFC,Chemicals,"365,974.00",9.82,0.84,
Vijaya Bank,Banking & Financial Services,"1,308,449.00",9.47,0.81,
Hind Constr,Cement & Construction,"657,592.00",2.57,0.22,
Hind Dorr-Olive,Engineering & Capital Goods,"1,460,900.00",0.47,0.04
