Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Bajaj Holdings,Banking & Financial Services,"320,028.00",77.48,7.49,
HDFC Bank,Banking & Financial Services,"348,200.00",62.13,6.00,
Tata Chemicals,Chemicals,"871,934.00",54.05,5.22,
ICICI Bank,Banking & Financial Services,"1,627,100.00",49.24,4.76,
Infosys,Information Technology,"420,000.00",42.47,4.10,
Reliance,Oil & Gas,"255,300.00",41.24,3.98,
Yes Bank,Banking & Financial Services,"219,500.00",39.72,3.84,
J. K. Cement,Cement & Construction,"376,875.00",38.37,3.71,
Apollo Tyres,Automotive,"1,427,100.00",38.03,3.67,
Tata Motors (D),Automotive,"1,458,906.00",38.00,3.67,
Tata Inv Corp,Banking & Financial Services,"408,557.00",36.35,3.51,
Federal Bank,Banking & Financial Services,"2,837,300.00",32.70,3.16,
Biocon,Pharmaceuticals,"652,500.00",25.10,2.43,
Edelweiss,Banking & Financial Services,"1,043,473.00",21.39,2.07,
Equitas Holding,Banking & Financial Services,"1,180,201.00",19.77,1.91,
Glenmark,Pharmaceuticals,"282,600.00",19.70,1.90,
Dalmia Bharat,Cement & Construction,"70,400.00",18.72,1.81,
Eveready Ind,Consumer Non-durables,"586,400.00",18.05,1.74,
Vedanta,Metals & Mining,"619,718.00",17.34,1.68,
Redington,Information Technology,"1,155,420.00",17.22,1.66,
Coal India,Metals & Mining,"572,000.00",14.25,1.38,
Vardhman Text,Manufacturing,"116,434.00",14.19,1.37,
ONGC,Oil & Gas,"766,050.00",12.98,1.25,
Balkrishna Ind,Automotive,"53,700.00",8.73,0.84,
GE Shipping,Services,"192,709.00",7.66,0.74,
Trident,Manufacturing,"409,633.00",3.38,0.33,
Vedanta,Metals & Mining,"1,354,872.00",1.35,0.13
