,#EANF#,%,Cash / Call,Equity,Equity ,Qty,Qty ,Rating ,Sector,Unnamed: 0,Unnamed: 0.1,Unnamed: 4,Unnamed: 5,Value,"Value
 (Rs cr)",Value  (Rs cr),company_code,company_name
0,,7.62,,,GRUH Finance,,"112,164.00",,Banking & Financial Services,0,,,,,4.97,,MAA194,axis-mid-cap-fund-direct
1,,5.34,,,Page Industries,,"2,088.00",,Manufacturing,1,,,,,3.48,,MAA194,axis-mid-cap-fund-direct
2,,5.34,,,City Union Bank,,"216,192.00",,Banking & Financial Services,2,,,,,3.48,,MAA194,axis-mid-cap-fund-direct
3,,4.24,,,Motherson Sumi,,"90,201.00",,Automotive,3,,,,,2.77,,MAA194,axis-mid-cap-fund-direct
4,,3.86,,,Bajaj Finserv,,"6,117.00",,Banking & Financial Services,4,,,,,2.52,,MAA194,axis-mid-cap-fund-direct
5,,3.67,,,UPL,,"28,486.00",,Chemicals,5,,,,,2.39,,MAA194,axis-mid-cap-fund-direct
6,,3.42,,,Endurance Techn,,"25,422.00",,Automotive,6,,,,,2.23,,MAA194,axis-mid-cap-fund-direct
7,,3.4,,,PVR,,"15,753.00",,Media & Entertainment,7,,,,,2.22,,MAA194,axis-mid-cap-fund-direct
8,,3.34,,,P and G,,"2,708.00",,Consumer Non-durables,8,,,,,2.18,,MAA194,axis-mid-cap-fund-direct
9,,3.03,,,Britannia,,"5,350.00",,Food & Beverages,9,,,,,1.98,,MAA194,axis-mid-cap-fund-direct
10,,3.02,,,Sundaram Fin,,"12,328.00",,Banking & Financial Services,10,,,,,1.97,,MAA194,axis-mid-cap-fund-direct
11,,2.87,,,Supreme Ind,,"15,283.00",,Manufacturing,11,,,,,1.87,,MAA194,axis-mid-cap-fund-direct
12,,2.51,,,Berger Paints,,"66,515.00",,Chemicals,12,,,,,1.64,,MAA194,axis-mid-cap-fund-direct
13,,2.25,,,Cholamandalam,,"13,117.00",,Banking & Financial Services,13,,,,,1.47,,MAA194,axis-mid-cap-fund-direct
14,,2.17,,,Petronet LNG,,"65,599.00",,Oil & Gas,14,,,,,1.42,,MAA194,axis-mid-cap-fund-direct
15,,2.13,,,Balkrishna Ind,,"8,357.00",,Automotive,15,,,,,1.39,,MAA194,axis-mid-cap-fund-direct
16,,1.89,,,Ceat,,"6,864.00",,Automotive,16,,,,,1.23,,MAA194,axis-mid-cap-fund-direct
17,,1.83,,,Federal Bank,,"105,825.00",,Banking & Financial Services,17,,,,,1.19,,MAA194,axis-mid-cap-fund-direct
18,,1.68,,,Ramco Cements,,"15,817.00",,Cement & Construction,18,,,,,1.1,,MAA194,axis-mid-cap-fund-direct
19,,1.62,,,Cadila Health,,"20,105.00",,Pharmaceuticals,19,,,,,1.06,,MAA194,axis-mid-cap-fund-direct
20,,1.55,,,MCX India,,"9,300.00",,Miscellaneous,20,,,,,1.01,,MAA194,axis-mid-cap-fund-direct
21,,1.53,,,Gulf Oil Lubric,,"12,315.00",,Chemicals,21,,,,,1,,MAA194,axis-mid-cap-fund-direct
22,,1.49,,,Igarashi Motors,,"9,899.00",,Engineering & Capital Goods,22,,,,,0.97,,MAA194,axis-mid-cap-fund-direct
23,,1.46,,,V-Guard Ind,,"55,273.00",,Miscellaneous,23,,,,,0.95,,MAA194,axis-mid-cap-fund-direct
24,,1.43,,,MRF,,137,,Automotive,24,,,,,0.93,,MAA194,axis-mid-cap-fund-direct
25,,1.38,,,Bajaj Finance,,"6,551.00",,Banking & Financial Services,25,,,,,0.9,,MAA194,axis-mid-cap-fund-direct
