,Equity_x,stock_name,Equity_y,Sector
0,61,Federal Bank,Federal Bank,Banking & Financial Services
1,53,Schaeffler Ind,Schaeffler Ind,Engineering & Capital Goods
2,51,J. K. Cement,J. K. Cement,Cement & Construction
3,51,Repco Home,Repco Home,Banking & Financial Services
4,48,Exide Ind,Exide Ind,Automotive
5,46,Ramco Cements,Ramco Cements,Cement & Construction
6,43,Bayer CropScien,Bayer CropScien,Chemicals
7,43,India Cements,India Cements,Cement & Construction
8,43,Max Financial,Max Financial,Manufacturing
9,42,Navin Fluorine,Navin Fluorine,Chemicals
10,42,NCC,NCC,Cement & Construction
11,42,Guj State Petro,Guj State Petro,Oil & Gas
12,41,Timken,Timken,Engineering & Capital Goods
13,41,Johnson Control,Johnson Control,Consumer Durables
14,40,IndusInd Bank,IndusInd Bank,Banking & Financial Services
15,40,V-Guard Ind,V-Guard Ind,Miscellaneous
16,40,Atul,Atul,Chemicals
17,39,DCB Bank,DCB Bank,Banking & Financial Services
18,38,Grindwell Norto,Grindwell Norto,Engineering & Capital Goods
19,38,Techno Electric,Techno Electric,Engineering & Capital Goods
20,38,Va Tech Wabag,Va Tech Wabag,Engineering & Capital Goods
21,38,Ashoka Buildcon,Ashoka Buildcon,Cement & Construction
22,37,City Union Bank,City Union Bank,Banking & Financial Services
23,37,Minda Ind,Minda Ind,Automotive
24,37,Cholamandalam,Cholamandalam,Banking & Financial Services
25,37,KPR Mill,KPR Mill,Manufacturing
26,36,M&M; Financial,M&M; Financial,Banking & Financial Services
27,36,Blue Star,Blue Star,Consumer Durables
28,35,Coromandel Int,Coromandel Int,Chemicals
29,35,CenturyPlyboard,CenturyPlyboard,Miscellaneous
30,35,Voltas,Voltas,Conglomerates
31,35,ITD Cementation,ITD Cementation,Cement & Construction
32,34,Rane Holdings,Rane Holdings,Automotive
33,33,S Chand and Co,S Chand and Co,Miscellaneous
34,33,Karur Vysya,Karur Vysya,Banking & Financial Services
35,33,UPL,UPL,Chemicals
36,32,AU Small Financ,AU Small Financ,Banking & Financial Services
37,32,Heidelberg Cem,Heidelberg Cem,Cement & Construction
38,32,SRF,SRF,Manufacturing
39,32,Bajaj Finance,Bajaj Finance,Banking & Financial Services
40,31,NIIT Tech,NIIT Tech,Information Technology
41,31,Dollar Ind,Dollar Ind,Manufacturing
42,31,Bharat Elec,Bharat Elec,Manufacturing
43,31,Mcleod,Mcleod,Food & Beverages
44,31,PNC Infratech,PNC Infratech,Retail & Real Estate
45,31,Petronet LNG,Petronet LNG,Oil & Gas
46,30,Thyrocare Techn,Thyrocare Techn,Services
47,30,Himatsingka Sei,Himatsingka Sei,Manufacturing
48,30,Supreme Ind,Supreme Ind,Manufacturing
49,30,HPCL,HPCL,Oil & Gas
50,29,Subros,Subros,Automotive
51,29,HSIL,HSIL,Cement & Construction
52,29,Navneet,Navneet,Miscellaneous
53,29,Ujjivan Financi,Ujjivan Financi,Banking & Financial Services
54,29,Gateway Distri,Gateway Distri,Miscellaneous
55,29,Bata India,Bata India,Consumer Non-durables
56,29,Whirlpool,Whirlpool,Consumer Durables
57,29,INOX Leisure,INOX Leisure,Media & Entertainment
58,29,PVR,PVR,Media & Entertainment
59,28,Finolex Cables,Finolex Cables,Telecommunication
60,28,Praj Industries,Praj Industries,Engineering & Capital Goods
61,28,Clariant Chem,Clariant Chem,Chemicals
62,28,Solar Ind,Solar Ind,Chemicals
63,28,CESC,CESC,Utilities
64,28,Equitas Holding,Equitas Holding,Banking & Financial Services
65,28,IGL,IGL,Oil & Gas
66,28,Thermax,Thermax,Engineering & Capital Goods
67,27,KSB Pumps,KSB Pumps,Engineering & Capital Goods
68,27,Premier Explo,Premier Explo,Chemicals
69,27,PSP Projects,PSP Projects,Cement & Construction
70,27,RPP Infra Proj,RPP Infra Proj,Cement & Construction
71,26,Bank of Baroda,Bank of Baroda,Banking & Financial Services
72,26,AIA Engineering,AIA Engineering,Engineering & Capital Goods
73,26,Cochin Shipyard,Cochin Shipyard,Miscellaneous
74,26,Kalpataru Power,Kalpataru Power,Engineering & Capital Goods
75,26,Motherson Sumi,Motherson Sumi,Automotive
76,25,MRF,MRF,Automotive
77,25,Force Motors,Force Motors,Automotive
78,25,Castrol,Castrol,Chemicals
79,25,Carborundum,Carborundum,Engineering & Capital Goods
80,24,NRB Bearings,NRB Bearings,Engineering & Capital Goods
81,24,CARE,CARE,Miscellaneous
82,24,Kotak Mahindra,Kotak Mahindra,Banking & Financial Services
83,24,Aurobindo Pharm,Aurobindo Pharm,Pharmaceuticals
84,24,Redington,Redington,Information Technology
85,24,ABB India,ABB India,Engineering & Capital Goods
86,24,Rallis India,Rallis India,Chemicals
87,24,JK Lakshmi Cem,JK Lakshmi Cem,Cement & Construction
88,24,Kennametal,Kennametal,Engineering & Capital Goods
89,24,Persistent,Persistent,Information Technology
90,24,Emami,Emami,Consumer Non-durables
91,24,MCX India,MCX India,Miscellaneous
92,24,Sterlite Techno,Sterlite Techno,Telecommunication
93,24,Tata Chemicals,Tata Chemicals,Chemicals
94,23,WABCO India,WABCO India,Automotive
95,23,Bajaj Finserv,Bajaj Finserv,Banking & Financial Services
96,23,MM Forgings,MM Forgings,Manufacturing
97,23,Vardhman Text,Vardhman Text,Manufacturing
98,23,Take Solutions,Take Solutions,Information Technology
99,23,Honeywell Autom,Honeywell Autom,Telecommunication
100,23,Amara Raja Batt,Amara Raja Batt,Automotive
101,23,Apollo Tyres,Apollo Tyres,Automotive
102,22,Britannia,Britannia,Food & Beverages
103,22,Yes Bank,Yes Bank,Banking & Financial Services
104,22,EngineersInd,EngineersInd,Engineering & Capital Goods
105,22,Astra Microwave,Astra Microwave,Telecommunication
106,22,DB Corp,DB Corp,Media & Entertainment
107,22,Apollo Hospital,Apollo Hospital,Services
108,22,Mahindra Holida,Mahindra Holida,Services
109,22,Deepak Nitrite,Deepak Nitrite,Chemicals
110,22,PI Industries,PI Industries,Chemicals
111,22,Arvind,Arvind,Manufacturing
112,22,Ador Welding,Ador Welding,Engineering & Capital Goods
113,21,Mahindra CIE,Mahindra CIE,Manufacturing
114,21,RBL Bank,RBL Bank,Banking & Financial Services
