,Equity_x,stock_name,Equity_y,Sector
0,127,HDFC Bank,HDFC Bank,Banking & Financial Services
1,117,Maruti Suzuki,Maruti Suzuki,Automotive
2,116,ICICI Bank,ICICI Bank,Banking & Financial Services
3,113,ITC,ITC,Tobacco
4,113,Larsen,Larsen,Engineering & Capital Goods
5,105,IndusInd Bank,IndusInd Bank,Banking & Financial Services
6,96,Infosys,Infosys,Information Technology
7,95,Reliance,Reliance,Oil & Gas
8,93,SBI,SBI,Banking & Financial Services
9,92,HDFC,HDFC,Banking & Financial Services
10,90,Kotak Mahindra,Kotak Mahindra,Banking & Financial Services
11,79,Tata Motors,Tata Motors,Automotive
12,77,HCL Tech,HCL Tech,Information Technology
13,77,IOC,IOC,Oil & Gas
14,75,Sun Pharma,Sun Pharma,Pharmaceuticals
15,72,Power Grid Corp,Power Grid Corp,Utilities
16,68,Hero Motocorp,Hero Motocorp,Automotive
17,65,Axis Bank,Axis Bank,Banking & Financial Services
18,65,Hindalco,Hindalco,Metals & Mining
19,64,M&M;,M&M;,Automotive
20,63,Tata Steel,Tata Steel,Metals & Mining
21,62,UltraTechCement,UltraTechCement,Cement & Construction
22,59,Vedanta,Vedanta,Metals & Mining
23,57,Britannia,Britannia,Food & Beverages
24,54,Yes Bank,Yes Bank,Banking & Financial Services
25,54,Petronet LNG,Petronet LNG,Oil & Gas
26,52,Bharat Elec,Bharat Elec,Manufacturing
27,51,NTPC,NTPC,Utilities
28,49,BPCL,BPCL,Oil & Gas
29,49,Eicher Motors,Eicher Motors,Automotive
30,49,TCS,TCS,Information Technology
31,47,GAIL,GAIL,Oil & Gas
32,46,HUL,HUL,Consumer Non-durables
33,46,Aurobindo Pharm,Aurobindo Pharm,Pharmaceuticals
34,44,Zee Entertain,Zee Entertain,Media & Entertainment
35,43,Bharti Airtel,Bharti Airtel,Telecommunication
36,42,Shree Cements,Shree Cements,Cement & Construction
37,41,Cummins,Cummins,Engineering & Capital Goods
38,41,Asian Paints,Asian Paints,Chemicals
39,41,Motherson Sumi,Motherson Sumi,Automotive
40,41,Bank of Baroda,Bank of Baroda,Banking & Financial Services
41,39,Bajaj Finserv,Bajaj Finserv,Banking & Financial Services
42,38,Max Financial,Max Financial,Manufacturing
